Petition,URL,State,Signatures Count,petition_id,opened_date,debate_threshold_reached,scheduled_debate_date,closed_date
Introduce mandatory life sentences for child sex offences,https://petition.parliament.uk/petitions/715556,closed,2325,715556,2025-03-18,,,2025-09-18
Create a visa route for Palestinian Orphans and Simplify Adoption Processes,https://petition.parliament.uk/petitions/715558,closed,215,715558,2025-04-03,,,2025-10-03
Increase funding for ARFID treatment,https://petition.parliament.uk/petitions/715559,closed,1865,715559,2025-03-21,,,2025-09-21
Require food retailers to label products which are subject to shrinkflation,https://petition.parliament.uk/petitions/715577,closed,56,715577,2025-03-19,,,2025-09-19
Make bus travel free for secondary school students,https://petition.parliament.uk/petitions/715593,closed,122,715593,2025-05-08,,,2025-11-08
Ban schools from implementing policies relating to appearance except clothing,https://petition.parliament.uk/petitions/715608,closed,126,715608,2025-03-25,,,2025-09-25
Review the EHCP process. Timescales are not being met which is distressing.,https://petition.parliament.uk/petitions/715626,closed,1515,715626,2025-03-21,,,2025-09-21
Revoke visas of parents whose children are convicted of serious violent crime,https://petition.parliament.uk/petitions/715633,closed,93,715633,2025-03-21,,,2025-09-21
Implement a 5% Cap on Annual Council Tax Increases by Town and Parish Councils,https://petition.parliament.uk/petitions/715666,closed,79,715666,2025-04-22,,,2025-10-22
Change law so people over 16 get a whole life term if they commit knife crime,https://petition.parliament.uk/petitions/715668,closed,78,715668,2025-03-18,,,2025-09-18
Stop the closure of the Public Switched Telephone Network,https://petition.parliament.uk/petitions/715671,closed,57,715671,2025-05-07,,,2025-11-07
Add boxing and martial arts to the education curriculum,https://petition.parliament.uk/petitions/715681,closed,30,715681,2025-03-21,,,2025-09-21
Scrap the 100ml rule for hand luggage in airports,https://petition.parliament.uk/petitions/715696,closed,33,715696,2025-03-20,,,2025-09-20
Fund access to Lecanemab on the NHS,https://petition.parliament.uk/petitions/715702,closed,38,715702,2025-05-07,,,2025-11-07
Make it mandatory for drivers to provide Driving Licence to get insurance,https://petition.parliament.uk/petitions/715703,closed,1283,715703,2025-05-20,,,2025-11-20
Allow ICT (intracompany transfer) visas to count towards ILR,https://petition.parliament.uk/petitions/715704,closed,84,715704,2025-03-21,,,2025-09-21
Make a criminal offence not to label AI generated media & communication as such,https://petition.parliament.uk/petitions/715706,closed,253,715706,2025-03-25,,,2025-09-25
"Introduce a right to roam law, also known as the right of responsible access",https://petition.parliament.uk/petitions/715708,closed,88,715708,2025-03-19,,,2025-09-19
Remove the VAT on Period Swimwear and Sportswear,https://petition.parliament.uk/petitions/715709,closed,847,715709,2025-03-18,,,2025-09-18
Retain the UK's stockpile of Plutonium and make more,https://petition.parliament.uk/petitions/715770,closed,139,715770,2025-03-18,,,2025-09-18
"Fund a free, nationwide 'Parental Control App' to keep all children safe online",https://petition.parliament.uk/petitions/715773,closed,278,715773,2025-03-24,,,2025-09-24
Require local authorities to appoint a park homes officer,https://petition.parliament.uk/petitions/715781,closed,46,715781,2025-03-21,,,2025-09-21
Regulate price of car repairs and labour costs,https://petition.parliament.uk/petitions/715786,closed,34,715786,2025-03-19,,,2025-09-19
Allow Veterans who left before 1987 to claim compensation for hearing loss.,https://petition.parliament.uk/petitions/715800,closed,18429,715800,2025-05-07,,,2025-11-07
Scrap the UK Armed Forces’ blanket ban on recruits with diabetes,https://petition.parliament.uk/petitions/715802,closed,41,715802,2025-03-21,,,2025-09-21
Commit 1% of government spending to development of space activities,https://petition.parliament.uk/petitions/715831,closed,345,715831,2025-03-21,,,2025-09-21
Fund a full bursary and maintenance fund to train Learning Disability Nurses,https://petition.parliament.uk/petitions/715835,closed,3266,715835,2025-04-01,,,2025-10-01
Amend the Mobile Homes (Site Rules) (England) Regulations 2014,https://petition.parliament.uk/petitions/715848,closed,17,715848,2025-03-25,,,2025-09-25
Create a national process to ensure Mobile Homes Legislation is fully enforced,https://petition.parliament.uk/petitions/715850,closed,24,715850,2025-04-01,,,2025-10-01
"Support Men’s Mental Health: End the Stigma, Expand Support, and Save Lives",https://petition.parliament.uk/petitions/715858,closed,69,715858,2025-03-21,,,2025-09-21
Put education on allergy & autoimmune based diets on the National Curriculum,https://petition.parliament.uk/petitions/715877,closed,34,715877,2025-03-21,,,2025-09-21
Allow the extension of visas for Ukrainian refugees not residing in the UK,https://petition.parliament.uk/petitions/715891,closed,69,715891,2025-03-19,,,2025-09-19
Ban AI companies from using music streaming to train AI,https://petition.parliament.uk/petitions/715896,closed,98,715896,2025-03-26,,,2025-09-26
More funding for GPs to provide face-to-face appointments and walk-in clinics,https://petition.parliament.uk/petitions/715936,closed,48,715936,2025-03-24,,,2025-09-24
