"Petition","URL","State","Signatures Count"
"Mandate funding of active travel provision as part of any transport projects","https://petition.parliament.uk/petitions/730474","open",186
"Public inquiry into the abolished defence of provocation, and issue apology","https://petition.parliament.uk/petitions/730498","open",69
"Waive English test for UK-educated adults applying for naturalisation","https://petition.parliament.uk/petitions/730505","open",66
"Include asexuality as a protected characteristic in the Equality Act 2010","https://petition.parliament.uk/petitions/730507","open",150
"Ringfence revenue from Vehicle Excise Duty for roads","https://petition.parliament.uk/petitions/730514","open",116
"Ban local councils from requiring work permits for under 16s eligible to work ","https://petition.parliament.uk/petitions/730516","open",116
"Increase foreign aid funding for children affected by war and conflict","https://petition.parliament.uk/petitions/730517","open",97
"Grooming gang national enquiry to name officials and consider failures to act","https://petition.parliament.uk/petitions/730532","open",288
"Force airlines to offer non-overbooked flight tickets","https://petition.parliament.uk/petitions/730537","open",27
"Review decision-making in asylum cases involving Ukrainian applicants","https://petition.parliament.uk/petitions/730539","open",141
"Change law: OFWAT to block dividends & executive bonuses when rationing water","https://petition.parliament.uk/petitions/730541","open",492
"Require key worker housing eligibility to include frontline charity workers","https://petition.parliament.uk/petitions/730542","open",203
"Grant Legal Right for Parents to Record All Interactions with Social Service","https://petition.parliament.uk/petitions/730552","open",1024
"Rule out BBC licence fee being linked to council tax","https://petition.parliament.uk/petitions/730557","open",1382
"Set out a pro-innovation strategy for blockchain and stablecoins","https://petition.parliament.uk/petitions/730568","open",44369
"Review support and payment for councillors in England","https://petition.parliament.uk/petitions/730571","open",121
"Require all shops in England to sell alcohol in a separate, screened area","https://petition.parliament.uk/petitions/730587","open",95
"Legislate to upgrade all B class license holders to include the C1 category","https://petition.parliament.uk/petitions/730604","open",181
"Mandatory collection and publication of certain child sexual offender data","https://petition.parliament.uk/petitions/730605","open",259953
"Create a ‘Community First’ legal duty for charity legacy property sales","https://petition.parliament.uk/petitions/730613","open",35
"Require all social media platforms to verify identity of accounts","https://petition.parliament.uk/petitions/730639","open",8936
